Ticker,MarketCap,Price,Volume,Exchange,Sector,CompanyName,ScorePotential,ReasonsTags,Comments,Status,ChangeNotes,Date
WBBNX,74892624,9.84,0,NASDAQ,FinancialServices,WmBlair Bond Fund Class N,65,MC_50-150;Nasdaq;PriceBand5-10,NASDAQ | PriceBand 5–10 | MC 75M,New,,2025-08-08
GLL,74790231,21.06,576666,AMEX,FinancialServices,ProShares UltraShort Gold,60,MC_50-150;VolAdequate;DataComplete;NotOTC,AMEX | MC 75M,New,,2025-08-08
TETE,74696750,12.5,82859,NASDAQ,FinancialServices,Technology & Telecommunication Acquisition Corporation,75,MC_50-150;Nasdaq;VolAdequate;DataComplete;NotOTC,NASDAQ | MC 75M,New,,2025-08-08
ATRA,74480105,10.96,23253,NASDAQ,Healthcare,"Atara Biotherapeutics, Inc.",90,MC_50-150;Nasdaq;PrioritySector;VolAdequate;DataComplete;NotOTC,NASDAQ | SectorPriority | MC 74M,New,,2025-08-08
FEXD,74358409,10.86,4642,NASDAQ,FinancialServices,Fintech Ecosystem Development Corp.,65,MC_50-150;Nasdaq;DataComplete;NotOTC,NASDAQ | MC 74M,New,,2025-08-08
FNWB,74297679,7.87,6935,NASDAQ,FinancialServices,First Northwest Bancorp,75,MC_50-150;Nasdaq;PriceBand5-10;DataComplete;NotOTC,NASDAQ | PriceBand 5–10 | MC 74M,New,,2025-08-08
KVSA,74292155,10.7367,4109,NASDAQ,FinancialServices,Khosla Ventures Acquisition Co.,65,MC_50-150;Nasdaq;DataComplete;NotOTC,NASDAQ | MC 74M,New,,2025-08-08
MTOAX,74141142,10.61,0,NASDAQ,FinancialServices,Manning & Napier Target 2025 Series Class I,65,MC_50-150;Nasdaq;DataComplete;NotOTC,NASDAQ | MC 74M,New,,2025-08-08
MIDU,74128401,45.36,51906,AMEX,FinancialServices,Direxion Daily Mid Cap Bull 3X Shares,60,MC_50-150;VolAdequate;DataComplete;NotOTC,AMEX | MC 74M,New,,2025-08-08
DYCQ,73497537,10.86,381,NASDAQ,FinancialServices,DT Cloud Acquisition Corporation,65,MC_50-150;Nasdaq;DataComplete;NotOTC,NASDAQ | MC 73M,New,,2025-08-08
PNI,73487725,6.55,144532,NYSE,FinancialServices,PIMCO New York Municipal Income Fund II,60,MC_50-150;PriceBand5-10;VolAdequate,NYSE | PriceBand 5–10 | MC 73M,New,,2025-08-08
LIVB,73338306,10.965,7201,NASDAQ,FinancialServices,LIV Capital Acquisition Corp. II,65,MC_50-150;Nasdaq;DataComplete;NotOTC,NASDAQ | MC 73M,New,,2025-08-08
XYZY,73319885,9.9,215367,AMEX,FinancialServices,YieldMax XYZ Option Income Strategy ETF,60,MC_50-150;PriceBand5-10;VolAdequate,AMEX | PriceBand 5–10 | MC 73M,New,,2025-08-08
NOVV,73188048,37.0001,0,NASDAQ,FinancialServices,Nova Vision Acquisition Corporation,65,MC_50-150;Nasdaq;DataComplete;NotOTC,NASDAQ | MC 73M,New,,2025-08-08
FUSB,73049196,12.73,4212,NASDAQ,FinancialServices,"First US Bancshares, Inc.",65,MC_50-150;Nasdaq;DataComplete;NotOTC,NASDAQ | MC 73M,New,,2025-08-08
BSAA,73036490,10.005,153262,NASDAQ,FinancialServices,BEST SPAC I Acquisition Corp.,75,MC_50-150;Nasdaq;VolAdequate;DataComplete;NotOTC,NASDAQ | MC 73M,New,,2025-08-08
DIG,72860238,32.65,23624,AMEX,FinancialServices,ProShares Ultra Oil & Gas,60,MC_50-150;VolAdequate;DataComplete;NotOTC,AMEX | MC 73M,New,,2025-08-08
ASYS,72858260,5.09,103942,NASDAQ,Technology,"Amtech Systems, Inc.",100,MC_50-150;Nasdaq;PrioritySector;PriceBand5-10;VolAdequate;DataComplete;NotOTC,NASDAQ | SectorPriority | PriceBand 5–10 | MC 73M,New,,2025-08-08
CAMMX,72716415,21.76,0,NASDAQ,FinancialServices,Cambiar SMID Investor,65,MC_50-150;Nasdaq;DataComplete;NotOTC,NASDAQ | MC 73M,New,,2025-08-08
BYFC,72647681,7.9,287,NASDAQ,FinancialServices,Broadway Financial Corporation,75,MC_50-150;Nasdaq;PriceBand5-10;DataComplete;NotOTC,NASDAQ | PriceBand 5–10 | MC 73M,New,,2025-08-08
TTDAX,72636565,10.22,0,NASDAQ,FinancialServices,Toews Tactical Defensive Alpha,65,MC_50-150;Nasdaq;DataComplete;NotOTC,NASDAQ | MC 73M,New,,2025-08-08
FDSB,72328705,13.01,1598,NASDAQ,FinancialServices,Fifth District Savings Bank,65,MC_50-150;Nasdaq;DataComplete;NotOTC,NASDAQ | MC 72M,New,,2025-08-08
TSDD,72292409,20.63,2376486,NASDAQ,FinancialServices,GraniteShares 2x Short TSLA Daily ETF,65,MC_50-150;Nasdaq;VolAdequate,NASDAQ | MC 72M,New,,2025-08-08
MFD,72225868,8.45,51948,NYSE,FinancialServices,Macquarie/First Trust Global Infrastructure/Utilities Dividend & Income Fund,60,MC_50-150;PriceBand5-10;VolAdequate,NYSE | PriceBand 5–10 | MC 72M,New,,2025-08-08
IVCP,71819055,10.5,43168,NASDAQ,FinancialServices,Swiftmerge Acquisition Corp.,75,MC_50-150;Nasdaq;VolAdequate;DataComplete;NotOTC,NASDAQ | MC 72M,New,,2025-08-08
PWUP,71749894,9.24,7294,NASDAQ,FinancialServices,PowerUp Acquisition Corp.,75,MC_50-150;Nasdaq;PriceBand5-10;DataComplete;NotOTC,NASDAQ | PriceBand 5–10 | MC 72M,New,,2025-08-08
LABP,71675511,22.93,50899,NASDAQ,Healthcare,"Landos Biopharma, Inc.",90,MC_50-150;Nasdaq;PrioritySector;VolAdequate;DataComplete;NotOTC,NASDAQ | SectorPriority | MC 72M,New,,2025-08-08
CSLM,71501184,11.69,2401,NASDAQ,FinancialServices,"Consilium Acquisition Corp I, Ltd.",65,MC_50-150;Nasdaq;DataComplete;NotOTC,NASDAQ | MC 72M,New,,2025-08-08
VHC,71420073,16.85,15617,NYSE,Technology,VirnetX Holding Corp,75,MC_50-150;PrioritySector;VolAdequate;DataComplete;NotOTC,NYSE | SectorPriority | MC 71M,New,,2025-08-08
BYTS,71129751,6.49,320028,NASDAQ,FinancialServices,BYTE Acquisition Corp.,85,MC_50-150;Nasdaq;PriceBand5-10;VolAdequate;DataComplete;NotOTC,NASDAQ | PriceBand 5–10 | MC 71M,New,,2025-08-08
