Ticker,Name,Market Cap,Price,Sector,Market,Volume
LOOP,"Loop Industries, Inc.",74917888,1.57,BasicMaterials,NASDAQ,119485
WBBNX,WmBlair Bond Fund Class N,74892624,9.84,FinancialServices,NASDAQ,0
GLL,ProShares UltraShort Gold,74790231,21.06,FinancialServices,AMEX,576666
DTI,Drilling Tools International Corp.,74744744,2.1,Energy,NASDAQ,11048
SIFZX,Sextant International Fund Z Class,74707394,25.27,FinancialServices,NASDAQ,0
TETE,Technology & Telecommunication Acquisition Corporation,74696750,12.5,FinancialServices,NASDAQ,82859
GLNAX,MFS Global New Discovery Fund Class A,74649344,24.34,FinancialServices,NASDAQ,0
JHAA,Nuveen Corporate Income 2023 Target Term Fund,74639570,9.7041,FinancialServices,NYSE,1055
SHXPX,American Beacon Shapiro Equity Opportunities Fund - Investor Class,74627067,14.9,FinancialServices,NASDAQ,0
ATRA,"Atara Biotherapeutics, Inc.",74480105,10.96,Healthcare,NASDAQ,23253
IMST,Bitwise Funds Trust,74438374,47.59,FinancialServices,AMEX,107234
FEXD,Fintech Ecosystem Development Corp.,74358409,10.86,FinancialServices,NASDAQ,4642
MNY,MoneyHero Limited Class A Ordinary Shares,74310935,1.72,CommunicationServices,NASDAQ,99465
MAVFX,"Matrix Advisors Value Fund, Inc.",74307834,102.6408,FinancialServices,NASDAQ,0
FNWB,First Northwest Bancorp,74297679,7.87,FinancialServices,NASDAQ,6935
KVSA,Khosla Ventures Acquisition Co.,74292155,10.7367,FinancialServices,NASDAQ,4109
INMB,"INmune Bio, Inc.",74172987,2.79,Healthcare,NASDAQ,930035
RLGAX,Riverfront Dynamic Equity Income Fund - Investor Class,74161775,14.64,FinancialServices,NASDAQ,0
ODYS,Odysight.ai Inc.,74160124,4.5451,Technology,NASDAQ,1030
MTOAX,Manning & Napier Target 2025 Series Class I,74141142,10.61,FinancialServices,NASDAQ,0
MIDU,Direxion Daily Mid Cap Bull 3X Shares,74128401,45.36,FinancialServices,AMEX,51906
APYX,Apyx Medical Corporation,74076044,1.96,Healthcare,NASDAQ,66904
GNSS,Genasys Inc.,74053380,1.64,Technology,NASDAQ,110516
BFINX,Baron FinTech Fund,74005074,18.08,FinancialServices,NASDAQ,0
IHYF,Invesco High Yield Bond Factor ETF,74003903,22.6,FinancialServices,NASDAQ,248
CNTY,"Century Casinos, Inc.",73945066,2.41,ConsumerCyclical,NASDAQ,465900
SSIFX,Sextant International Fund a series of Saturna Investment Trust,73820481,25.13,FinancialServices,NASDAQ,0
CSD,Invesco S&P Spin-Off ETF,73792318,85.49,FinancialServices,AMEX,25105
RMBL,"RumbleON, Inc.",73727550,1.95,ConsumerCyclical,NASDAQ,91439
GLT,Glatfelter Corporation,73672474,21.05,BasicMaterials,NYSE,0
TISI,"Team, Inc.",73556794,16.37,Industrials,NYSE,2741
XHS,SPDR S&P Health Care Services ETF,73552739,88.62,FinancialServices,AMEX,2274
IEQAX,ICON Equity Income Fund Investor,73516724,16.5,FinancialServices,NASDAQ,0
DYCQ,DT Cloud Acquisition Corporation,73497537,10.86,FinancialServices,NASDAQ,381
PNI,PIMCO New York Municipal Income Fund II,73487725,6.55,FinancialServices,NYSE,144532
TSE,Trinseo PLC,73439618,2.06,BasicMaterials,NYSE,1256887
INO,"Inovio Pharmaceuticals, Inc.",73382688,1.44,Healthcare,NASDAQ,691117
HGBL,Heritage Global Inc.,73372416,2.08,FinancialServices,NASDAQ,43183
LIVB,LIV Capital Acquisition Corp. II,73338306,10.965,FinancialServices,NASDAQ,7201
XHYT,BondBloxx US High Yield Telecom Media Technology Sector ETF,73334663,34.75,FinancialServices,AMEX,463
XYZY,YieldMax XYZ Option Income Strategy ETF,73319885,9.9,FinancialServices,AMEX,215367
NOVV,Nova Vision Acquisition Corporation,73188048,37.0001,FinancialServices,NASDAQ,0
HSUTX,Rational Dynamic Brands Fund,73119070,67.13,FinancialServices,NASDAQ,0
BNR,Burning Rock Biotech Limited,7308785,6.42,Healthcare,NASDAQ,46873
LVO,"LiveOne, Inc.",73059624,0.634,CommunicationServices,NASDAQ,196654
FUSB,"First US Bancshares, Inc.",73049196,12.73,FinancialServices,NASDAQ,4212
BSAA,BEST SPAC I Acquisition Corp.,73036490,10.005,FinancialServices,NASDAQ,153262
UAVS,"AgEagle Aerial Systems, Inc.",72942686,2.24,Technology,AMEX,4884554
TSEL,Touchstone Sands Capital US Select Growth ETF,72916086,29.1948,FinancialServices,NASDAQ,3606
SPWO,S&P World ETF,72867064,24.45,FinancialServices,AMEX,4780
DIG,ProShares Ultra Oil & Gas,72860238,32.65,FinancialServices,AMEX,23624
ASYS,"Amtech Systems, Inc.",72858260,5.09,Technology,NASDAQ,103942
SEUPX,Guggenheim StylePlus - Mid Growth Fund,72780331,33.57,FinancialServices,NASDAQ,0
PBS,Invesco Dynamic Media ETF,72737720,33.0626,FinancialServices,AMEX,1923
DBEM,Xtrackers MSCI Emerging Markets Hedged Equity ETF,72728051,28.5251,FinancialServices,AMEX,3331
CAMMX,Cambiar SMID Investor,72716415,21.76,FinancialServices,NASDAQ,0
NVBW,Allianzim U.S. Large Cap Buffer20 Nov ETF,72649189,32.605,FinancialServices,AMEX,1393
BYFC,Broadway Financial Corporation,72647681,7.9,FinancialServices,NASDAQ,287
TTDAX,Toews Tactical Defensive Alpha,72636565,10.22,FinancialServices,NASDAQ,0
CADIX,Columbia Select Global Growth Fund Institutional 2 Class,72621886,21.08,FinancialServices,NASDAQ,0
COGRX,Columbia Select Global Growth Fund Class R,72621880,19.84,FinancialServices,NASDAQ,0
PGRO,Putnam Focused Large Cap Growth ETF,72590134,42.175,FinancialServices,AMEX,6
ENZL,iShares MSCI New Zealand ETF,72473518,45.795,FinancialServices,NASDAQ,989
FDSB,Fifth District Savings Bank,72328705,13.01,FinancialServices,NASDAQ,1598
TSDD,GraniteShares 2x Short TSLA Daily ETF,72292409,20.63,FinancialServices,NASDAQ,2376486
MFD,Macquarie/First Trust Global Infrastructure/Utilities Dividend & Income Fund,72225868,8.45,FinancialServices,NYSE,51948
FLAU,Franklin FTSE Australia ETF,72098751,31.505,FinancialServices,AMEX,5473
HECO,Strategy Shares EcoLogical Strategy ETF,72095083,34.2858,,NASDAQ,1128
WDTE,Tidal Trust II - Defiance S&P 500 Enhanced Options & 0DTE Income ETF,71990087,33.88,FinancialServices,AMEX,13167
IJUN,Innovator International Developed Power Buffer ETF - June,71948388,27.84,FinancialServices,AMEX,12239
VLT,Invesco High Income Trust II,71933303,11.07,FinancialServices,NYSE,10637
BITI,ProShares Trust - ProShares Short Bitcoin Strategy ETF,71827547,17.98,FinancialServices,AMEX,2051833
IVCP,Swiftmerge Acquisition Corp.,71819055,10.5,FinancialServices,NASDAQ,43168
MGX,"Metagenomi, Inc. Common Stock",71772472,1.92,Healthcare,NASDAQ,630176
PWUP,PowerUp Acquisition Corp.,71749894,9.24,FinancialServices,NASDAQ,7294
LABP,"Landos Biopharma, Inc.",71675511,22.93,Healthcare,NASDAQ,50899
WTBN,Wisdomtree Bianco Fixed Income Total Return Fund,71658143,25.475,FinancialServices,NASDAQ,6694
AFJAX,Virtus NFJ International Value Fund,71530072,23.23,FinancialServices,NASDAQ,0
CSLM,"Consilium Acquisition Corp I, Ltd.",71501184,11.69,FinancialServices,NASDAQ,2401
VHC,VirnetX Holding Corp,71420073,16.85,Technology,NYSE,15617
MDIA,MediaCo Holding Inc.,71396452,1.3301,CommunicationServices,NASDAQ,101903
CBUS,"Cibus, Inc.",71370088,1.475,Healthcare,NASDAQ,106863
NIMEX,Nuveen Equity Market Neutral Fund Class I,71317132,21.28,FinancialServices,NASDAQ,0
NMAEX,Nuveen Equity Market Neutral Fund Class A,71317131,20.91,FinancialServices,NASDAQ,0
DEED,First Trust TCW Securitized Plus ETF,71158002,21.1649,FinancialServices,AMEX,5983
BYTS,BYTE Acquisition Corp.,71129751,6.49,FinancialServices,NASDAQ,320028
FEUZ,First Trust Eurozone AlphaDEX ETF,71129482,57.56,FinancialServices,NASDAQ,2202
GLV,Clough Global Dividend and Income Fund,70983484,5.72,FinancialServices,NYSE,47984
THIR,THOR Index Rotation ETF,70874116,29.72,FinancialServices,NYSE,52523
TRAOX,T. Rowe Price Asia Opportunities Fund,70805876,17.58,FinancialServices,NASDAQ,0
FGHNX,Fidelity Global High Income Fd,70800922,8.81,FinancialServices,NASDAQ,0
DVOL,First Trust Dorsey Wright Momentum & Low Volatility ETF,70679665,34.8007,FinancialServices,NASDAQ,3532
DIT,AMCON Distributing Company,70678089,109.5,ConsumerDefensive,AMEX,395
PRAY,FIS Biblically Responsible Risk Managed ETF,70677519,31.09,FinancialServices,AMEX,3581
CWCFX,Christopher Weil & Co Core Investment,70618398,11.8,,NASDAQ,0
NVAWW,Nova Minerals Limited,70574318,5.02,BasicMaterials,NASDAQ,1308
BOCN,Blue Ocean Acquisition Corp.,70565776,10.715,FinancialServices,NASDAQ,0
CRTX,"Cortexyme, Inc.",70454085,1.95,Healthcare,NASDAQ,272208
INDL,Direxion Daily MSCI India Bull 2X Shares,70396938,55.79,FinancialServices,AMEX,30720
FNTAX,Nuveen Nebraska Municipal Bond Fund Class A,70377514,9.43,FinancialServices,NASDAQ,0
